borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,easting,longitude,latitude,northing,Creative Enterprise Zones,Cultural Venue Type,runtime
Hammersmith and Fulham,https://www.shgroup.org.uk/media/233106/lisgar-terrace.pdf,Lisgar Terrace Community Centre,34162985,E09000013,Community Hall,Samuel Lewis Trust Dwellings,Lisgar Terrace,Avonmore and Brook Green,E05000252,524440.0001221001,-0.20725778248935264,51.493631551577266,178765.00012210011,Hammersmith and Fulham,Community centres,11/27/2022
Hammersmith and Fulham,http://ugli.lovelyinside.com,Ugli Campus,34152043,E09000013,Ugli Campus,Ugli Campus,56 Wood Lane,College Park and Old Oak,E05000253,523355.0001221001,-0.22222941337211394,51.51060534769143,180627.00012210011,Hammersmith and Fulham,Creative co-working desk space,11/27/2022
Hammersmith and Fulham,http://www.huckletree.com/,Huckletree,34160930,E09000013,Huckletree,White City Place,191 Wood Lane,College Park and Old Oak,E05000253,523067.62011719495,-0.22628347105605998,51.512868422211035,180871.8101195991,Hammersmith and Fulham,Creative co-working desk space,11/27/2022
Hammersmith and Fulham,https://www.westlondonschoolofdance.co.uk,West London School of Dance,34039599,E09000013,25 Bulwer Street,,,Shepherd's Bush Green,E05000263,523153.0827025457,-0.22374653497969876,51.505484972953944,180109.11526379368,Hammersmith and Fulham,Dance performance venues,11/27/2022
Hammersmith and Fulham,https://www.westlondonschoolofdance.co.uk/studio-hire,Village Hall Dance Studio,34039610,E09000013,58 Bulwer Street,,,Shepherd's Bush Green,E05000263,523125.0892205448,-0.22413998062796733,51.505742722754725,180137.10947550938,Hammersmith and Fulham,Dance rehearsal studios,11/27/2022
Hammersmith and Fulham,https://www.westlondonschoolofdance.co.uk,West London School of Dance,34039599,E09000013,25 Bulwer Street,,,Shepherd's Bush Green,E05000263,523153.0827025457,-0.22374653497969876,51.505484972953944,180109.11526379368,Hammersmith and Fulham,Dance rehearsal studios,11/27/2022
Hammersmith and Fulham,http://www.coroflot.com/francescazagari,Francesca Zagari,34026245,E09000013,32C Aynhoe Road,,,Avonmore and Brook Green,E05000252,523623.9617548083,-0.21731837081751876,51.496295911534396,179098.31368095253,Hammersmith and Fulham,Fashion and design,11/27/2022
Hammersmith and Fulham,,Jack Cube Ltd,34030736,E09000013,200 Uxbridge Road,,,Shepherd's Bush Green,E05000263,523216.0001221001,-0.22445145107051603,51.50498212197091,179998.00012210011,Hammersmith and Fulham,Jewellery design,11/27/2022
Hammersmith and Fulham,,Rock and Raw Limited,34160940,E09000013,Huckletree West 191 Wood Lane,,,College Park and Old Oak,E05000253,523068.0001221001,-0.22627793070100954,51.51287004719545,180872.00012210011,Hammersmith and Fulham,Jewellery design,11/27/2022
Hammersmith and Fulham,,Avonmore Library and Neighbourhood Centre,34058302,E09000013,North End Crescent,,,Avonmore and Brook Green,E05000252,524563.0001221001,-0.20554708384805745,51.49206749449068,178594.00012210011,Hammersmith and Fulham,Libraries,11/27/2022
Hammersmith & Fulham,https://www.imperial.ac.uk/white-city-campus/community/the-invention-rooms/,Imperial College London,34126299,E09000013,The Invention Rooms,68 Wood Lane,White City,College Park and Old Oak,E05000253,523033.1263146115,-0.22516299115712804,51.513527825546575,181000.9464764084,Hammersmith and Fulham,Makerspaces,11/27/2022
Hammersmith And Fulham,,Rocket Entertainment,0,E09000013,1 Blythe Road Hammersmith W14 0hg,,,Avonmore And Brook Green,E05000252,524166.000122197,-0.21113164724988323,51.49551639548391,178968.00012159348,Hammersmith and Fulham,Music (office based businesses),11/27/2022
Hammersmith And Fulham,www.godlikeandelectric.com,Godlike & Electric Records Ltd,34033006,E09000013,6 Netherwood Road,Hammersmith And Fulham,,Addison,E05000250,523547.000122197,-0.21989228663062974,51.499570877592035,179404.00012159348,Hammersmith and Fulham,Music (office based businesses),11/27/2022
Hammersmith And Fulham,,I E Music Ltd,34039375,E09000013,111 Frithville Gardens,Hammersmith And Fulham,,Shepherd's Bush Green,E05000263,523090.000122197,-0.22613526423212876,51.508380153503026,180373.00012169778,Hammersmith and Fulham,Music (office based businesses),11/27/2022
Hammersmith And Fulham,,Rds Studios Ltd,34019456,E09000013,12 Hetley Road,Hammersmith And Fulham,,Shepherd's Bush Green,E05000263,522663.000122197,-0.23241368474574609,51.50516536176649,180005.00012169778,Hammersmith and Fulham,Music recording studios,11/27/2022
Hammersmith And Fulham,www.bushstudios.co.uk,Bush Studios,34156724,E09000013,151 Railway Arches,Macfarlane Road,Hammersmith And Fulham,Shepherd's Bush Green,E05000263,523214.000122197,-0.22440442611728506,51.506932992291944,180215.00012169778,Hammersmith and Fulham,Music rehearsal studios,11/27/2022
Hammersmith And Fulham,www.nellsjazzandblues.com,Nell's Jazz & Blues,34151679,E09000013,3 North End Crescent,Hammersmith And Fulham,,Avonmore And Brook Green,E05000252,524555.000122197,-0.20567568358079566,51.49172770922717,178556.00012159348,Hammersmith and Fulham,Music venues (all),11/27/2022
Hammersmith And Fulham,www.academymusicgroup.com/o2shepherdsbushempire,O2 Shepherd's Bush Empire,34030760,E09000013,Shepherds Bush Green Hammersmith And Fulham,,,Shepherd's Bush Green,E05000263,523329.000122197,-0.22290334716034743,51.502917153890465,179771.00012159348,Hammersmith and Fulham,Music venues (all),11/27/2022
Hammersmith And Fulham,,Belushi's Shepherd's Bush,34032634,E09000013,13-15 Shepherds Bush Green,Hammersmith And Fulham,,Addison,E05000250,523768.000122197,-0.21655107984799274,51.503585162267115,179856.00012159348,Hammersmith and Fulham,Music venues (all),11/27/2022
Hammersmith And Fulham,www.bushtheatre.co.uk,The Bush Theatre,34032421,E09000013,7 Uxbridge Road,Hammersmith And Fulham,,Shepherd's Bush Green,E05000263,523223.000122197,-0.22436810528494042,51.50453118656436,179948.00012169778,Hammersmith and Fulham,Music venues (all),11/27/2022
Hammersmith And Fulham,www.bushhallmusic.co.uk,Bush Hall,34016974,E09000013,Bush Hall 310,Uxbridge Road,Hammersmith And Fulham,Shepherd's Bush Green,E05000263,522822.000122197,-0.23009056245212597,51.50598470107384,180100.00012169778,Hammersmith and Fulham,Music venues (all),11/27/2022
Hammersmith And Fulham,www.nellsjazzandblues.com,Nell's Jazz & Blues,34151679,E09000013,3 North End Crescent,Hammersmith And Fulham,,Avonmore And Brook Green,E05000252,524555.000122197,-0.20567568358079566,51.49172770922717,178556.00012159348,Hammersmith and Fulham,Music venues (grassroots),11/27/2022
Kensington and Chelsea,,Bolton,,E09000020,326 Earls Court Road,Earls Court,London,Earl's Court,E05009395,525703.0001221001,-0.1892338421557587,51.489271533947374,178311.00012210011,Hammersmith and Fulham,Pubs,11/27/2022
